S/N,Sentences,Cause1,Effect1,Label
151,"Mutation in these regulatory pathways did not affect initial attachment, motility, or Pel and Psl polysaccharide production, but instead arrested biofilm development in the transition from reversible to irreversible attachment [8 hr to 24 hr, BfiRS (PA4196-4197)], from initial attachment to the maturation-1 stage [(24 hr to 72 hr, BfmRS (PA4101-4102)], and following the maturation-1 stage [72 hr to 144 hr, MifRS (PA5511-5512)] (Fig. 6).",,,Non-Causal
152,"However, continued incubation did not result in increased DeltamifR biofilm growth (biomass, thickness) or microcolony formation typically seen in wild type biofilms at the maturation-2 stage (post 72 hr of growth, Table 2, Fig. 2).",,,Non-Causal
153,"Conclusion Based on these and other data [4,12-15], the genetic interaction between sigmaE and a subset of SsrB-regulated genes may serve to coordinate the spatial and temporal activation of virulence genes in a host setting, likely in response to membrane damage resulting from oxidative anti-microbial systems and membrane-targeted host defence peptides.",membrane damage resulting from oxidative anti-microbial systems and membrane-targeted host defence peptides,the genetic interaction between sigmaE and a subset of SsrB-regulated genes may serve to coordinate the spatial and temporal activation of virulence genes in a host setting,Causal
154,"It is also known that CF airway fluid contains high levels of neutrophil defensins [77] and that sub-lethal doses of CAPs induce PA3553 gene expression, although independently of PhoPQ and PmrAB [45].",,,Non-Causal
155,"Consistent with the results for SseB, there was a decrease in SifA-2HA levels in DeltarpoE compared to wild type, although deletion of rpoE did not have an effect on SseL-2HA.",Consistent with the results for SseB,in SifA-2HA levels in DeltarpoE compared to wild type,Causal
156,"In contrast, P. luminescens produces several factors involved in host cell interaction without homologues in Y. enterocolitica, namely Plu2096 which is similar to lectin PA-I, Plu1561 with strong homology to a Ca2+ dependent adhesion molecule, the adhesin Plu2433 similar to a virulence factor of the Gram-negative plant pathogen Erwinia carotovora, EvF, which is involved in colonisation of the D. melanogaster gut epithelium [80], and the putative invasin Plu2064.",,,Non-Causal
157,We have used SEBINI (Software Environment for Biological Network Inference; [18]) to directly compare multiple network algorithms.,,,Non-Causal
158,"The hilC mutation had little effect on SPI1 gene expression or the invasive phenotype, whereas the over-expression of hilC suppressed the hilD mutation, thereby promoting high levels of hilA and invF expression, which suggests that HilC can partially compensate for the loss of function of HilD and the invasive phenotype (8,9,15).",the over-expression of hilC suppressed the hilD mutation,promoting high levels of hilA and invF expression,Causal
159,"Further bioinformatics analysis revealed a unique two-component signal transduction system (TCSTS) located in the candidate 89K PAI, which is orthologous to the SalK/SalR regulatory system of Streptococcus salivarius.",,,Non-Causal
160,"However, to date the identification of a relevant in vivo environment for P. aeruginosa which is cation limited has remained elusive.",,,Non-Causal
161,"Undefined or hypothetical genes comprised 27% of differentially expressed genes (n = 21; 11 chromosomally encoded genes, ten phage-encoded genes).",,,Non-Causal
162,"In these complementation experiments, attempts were made to examine the levels of SseB secreted into the culture supernatant [21], however consistent with previous observations [22,23] perturbations to the rpoE pathway increased cell lysis resulting in contamination of secreted fractions with cytosolic proteins which precluded accurate interpretation (data not shown).","however consistent with previous observations [22,23] perturbations to the rpoE pathway increased cell lysis",in contamination of secreted fractions with cytosolic proteins which precluded accurate interpretation,Causal
163,"Because the spy0129 gene product is not expected to be found on the streptococcal surface (i.e., it lacks a cell-wall anchoring motif), it is not likely to be involved directly in adherence.",,,Non-Causal
164,"In contrast, the TB0173s cheB2 mutant had caused markedly reduced inflammation and very little PMN infiltration (Figure 5B).","In contrast, the TB0173s cheB2 mutant had",markedly reduced inflammation and very little PMN infiltration (Figure 5B).,Causal
165,PMN were applied in the upper wells and subsequently incubated for 90 min.,,,Non-Causal
166,We hope to perform this expensive test in future when funds are available.,,,Non-Causal
167,"DNA-enriched biofilms were dramatically more resistant than planktonic cultures, up to 256-fold, and this resistance phenotype to CAPs and aminoglycosides was also observed in planktonic cultures supplemented with DNA.",,,Non-Causal
168,"In cases where the regulator is deleted, the loss of genetic fine-tuning causes incongruous changes in the timing and magnitude of virulence gene expression, leading to fitness loss and strong attenuation.","In cases where the regulator is deleted, the loss of genetic fine-tuning causes incongruous changes in the timing and magnitude of virulence gene expression",fitness loss and strong attenuation,Causal
169,"BvrR/BvrS and the expression of other transcriptional regulators Notably, seven transcriptional regulators genes were also differentially expressed in the bvrR mutant compared to parental strain: BAB1_0237, BAB1_0891 (exoR), BAB1_1397, BAB2_0118 (vjbR), BAB2_0762 (ompR), BAB2_1127 and BAB2_1152.",,,Non-Causal
170,"SeMac possesses putative catalytic residues of Cys102, His272, and Asp294 (Fig. 1).",,,Non-Causal
171,"Growth of Salmonella in mild acid (pH 5.8) also promotes transcription of genes regulated by the response regulator PmrA (Soncini and Groisman, 1996).",Growth of Salmonella in mild acid (pH 5.8) also promotes transcription of genes,by the response regulator PmrA,Causal
172,This hypothesis is underlined by the fact that not more than five PAS_4/LuxR-like receptors are present in S. glossinidius for which only one insect host has been reported.,,,Non-Causal
173,"Secretion chaperones are proteins required for T3SS function with roles in apparatus assembly and effector delivery, but are not themselves subject to secretion [3].",,,Non-Causal
174,"The previous study suggested that regulation of fimA expression by FimR is through a regulation cascade involving interaction of FimR and the promoter region of the first gene in the fimA cluster (Nishikawa et al., 2004).",,,Non-Causal
175,"Cell envelope modulation It is well know that the transcription of omp25a y omp22 genes is under the control of the BvrR/BvrS system, and that bvrR/bvrS mutants have increased amount of underacylated lipid A species in the LPS [2], [3].",,,Non-Causal
176,It has been suggested that glucose plays a negative role in the expression of invasion-associated genes in Salmonella.,,,Non-Causal
177,Secretion can take place from extracellular bacteria that are juxtaposed to the surface of the cell or from intracellular bacteria located in vacuoles.,,,Non-Causal
178,"Under slow killing conditions (Figure 3) the TB strain requires approximately three days to kill 50% of a given worm population, and up to 8 days to kill all the worms in a population of 50 nematodes.",Under slow killing conditions,"The liquid killing assay by contrast, is read after overnight feeding of the nematodes with the bacterial strains",Causal
179,"Genes revolved in recombination/repair and transcription Together with some elements of DNA recombination/repair (05SSU0063, 05SSU0588 and 05SSU0953), two transcription regulators (05SSU0503 and 05SSU1233) were also under the regulation of SalK/SalR.",,,Non-Causal
180,"Importantly, on inspection of the structure of the PhoP-ortholog from Bacillus subtilis, it was found that the equivalent residue Ser 207 is a main residue in the DNA-binding domain, helix alpha3 [15].",,,Non-Causal
181,"Release of sigmaE from its inner membrane anchored anti-sigma factor, RseA, leads to induction of genes required to maintain cell envelope integrity [11].","Release of sigmaE from its inner membrane anchored anti-sigma factor, RseA",induction of genes required to maintain cell envelope integrity,Causal
182,This operon encodes some of the most abundantly expressed proteins by intracellular Salmonella.,,,Non-Causal
183,"The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system that is required for virulence in mice (Gunn et al., 2000), infection of chicken macrophages (Zhao et al., 2002), growth in soil (Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B (Roland et al., 1993) and resistance to Fe3+- (Wosten et al., 2000) and Al3+-mediated killing (Nishino et al., 2006).",The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system,resistance to the cationic peptide antibiotic polymyxin B,Causal
184,"However, according to very recent information, these polyketide-derived (Pks2-4) lipids do not have a strong impact on the virulence of M. tuberculosis [29].",,,Non-Causal
185,"No homologues, however, were detected in lambda-proteobacteria or E. coli, Klebsiella pneumoniae, and Enterobacter sp.",,,Non-Causal
186,"Y. enterocolitica strains have been isolated from flies that are assumed to play an important role in food contamination by this pathogen [1-3], and Y. pseudotuberculosis strains were recovered from fly larvae isolated in the wild [4].",,,Non-Causal
187,The genome of the latter strain has a size of ~4.6 Mbp and encodes 4037 putative proteins [23].,,,Non-Causal
188,"So, in Figure 6B all regulatory effects on SPI-2 have been removed except for those mediated directly by slyA and ssrB based on additional genetic data as described below.",,,Non-Causal
189,Ex Vivo Virulence Studies Changes in the regulatory potential of a pathogen are often accompanied by altered virulence.,,,Non-Causal
190,The cheB2 mutant was also found to have reduced adhesive capabilities to bronchial epithelial cells (Figure S1).,,,Non-Causal
191,"The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system that is required for virulence in mice (Gunn et al., 2000), infection of chicken macrophages (Zhao et al., 2002), growth in soil (Chamnongpol et al., 2002), resistance to the cationic peptide antibiotic polymyxin B (Roland et al., 1993) and resistance to Fe3+- (Wosten et al., 2000) and Al3+-mediated killing (Nishino et al., 2006).",The PmrA protein and its cognate sensor kinase PmrB form a two-component regulatory system,resistance to Fe3+-,Causal
192,"Discussion We have established that the sensor kinase PmrB is the primary sensor that activates the PmrA protein when Salmonella experiences mild acid pH, resulting in transcription of PmrA-activated genes (Fig. 1).",the sensor kinase PmrB is the primary sensor that activates the PmrA protein when Salmonella experiences mild acid pH,transcription of PmrA-activated genes,Causal
193,The present study also uncovers that increased activity of SLO from invasive GAS isolates induces rapid and extensive necrosis to human PMN.,,,Non-Causal
194,The PA3553 mutant also displayed decreased DNA-induced resistance to aminoglycosides compared to PAO1.,,,Non-Causal
195,"Therefore, to know the mechanism underlying GAS-mediated killing of PMN, we investigated whether SLO produced by invasive GAS affect survival of PMN in an in vitro migration assay system.",,,Non-Causal
196,"Similar to HilC and HilD, RtsA activates the expression of SPI1 genes by binding upstream of the master regulatory gene, hilA, to induce its expression (9,17).","binding upstream of the master regulatory gene, hilA, to induce its expression","Similar to HilC and HilD, RtsA activates the expression of SPI1 genes",Causal
197,"Members of this ancient and conserved family of proteins are found in all forms of life and can be induced by a variety of environmental stresses [8],[9].",,,Non-Causal
198,"Interestingly, STM2137 (also known as SseK2) is a likely paralog of SseK1, an effector translocated by the SPI-2 T3SS [33].",,,Non-Causal
199,Instead they appeared to have consensus sites for sigma70.,,,Non-Causal
200,"Effects of environmental stress on growth of M. tuberculosis Deltarv2623 in vitro Although the functions of universal stress proteins have yet to be completely defined, there is evidence that many USPs play differential roles in protecting microbes against various environmental stresses [9].",,,Non-Causal
201,There was also no DNA shift detected when rFimR was incubated with the coding region of mfa1.,,,Non-Causal
202,"In the bacterial world the PhoP/PhoR like two-component systems are widely distributed and fulfill a large variety of functions including sensing phosphate and magnesium [32,33], or regulating virulence genes [34].",,,Non-Causal
203,"Complementation of both PA4101 and PA4197 mutants restored biofilm formation to wild type levels (Fig. 2C, Table 2).",,,Non-Causal
204,"Another gene, gltP encoding a glutamate-aspartate symporter, is also up-regulated at low temperature in Y. enterocolitica, but lacks a counterpart in P. luminescens.",,,Non-Causal
205,Examples are the ten triacylglycerol lipases of P. luminescens or the three identified lipases of Y. enterocolitica.,,,Non-Causal
206,"This analysis revealed a strong SsrB binding site spanning 10 syntenic probes within the intergenic region (IGR) upstream of srcA, that together with the transcriptional data corroborated a direct regulatory role for SsrB on srcA expression (Fig. 1A).",a strong SsrB binding site spanning 10 syntenic probes within the intergenic region (IGR) upstream of srcA,a direct regulatory role for SsrB on srcA expression,Causal
207,"Rationale for Knock-Ins To evaluate the phenotypic effect of the different SNPs and to assess their potential contribution to the attenuation process, we undertook functional genomic analyses using knock-ins of H37Ra, as described previously [18].",,,Non-Causal
208,"This protein also has the endopeptidase activity against human immunoglobulin G (IgG), and the Cys94, His262 and Asp284 are critical for the enzymatic activity.",,,Non-Causal
209,"Although many factors and a complex mechanism related to environmental stimuli are involved in the modulation of SPI1 genes, they are thought to converge on the activation of several transcriptional regulators encoded within SPI1, such as HilA, HilC, HilD and InvF (7-9).",,,Non-Causal
210,"The diverse growth conditions used in this study, as well as differences between isogenic strains containing mutations in virulence regulators, make our data set ideal for this type of analysis.",,,Non-Causal
211,"The two upstream and downstream flanking fragments of the internal vicK fragment from Tyr151 to Ser427 to be deleted were cloned at the upstream and downstream ends of the aad gene, respectively, resulting in suicide plasmid pGRV-DeltavicK.",,,Non-Causal
212,"Expression of the pel and psl genes is coordinated by the global regulator RetS, a hybrid sensor kinase-response regulator protein, that plays a key role in the reciprocal regulation of virulence factors and biofilm formation required for acute versus chronic infection [36].",,,Non-Causal
213,This was demonstrated for chaperone-ATPase components in the flagellar type III system [17] and in non-flagellar type III systems in E. coli [27] and the SPI-1 system in Salmonella [15].,,,Non-Causal
214,It is hypothesized that the FimS/FimR system regulates expression of each fimbrial gene through a unique mechanism.,,,Non-Causal
215,"SL1344 was used as the control strain, and the invasiveness of this strain was arbitrarily set at 100%.",,,Non-Causal
216,"Under slow killing conditions (Figure 3) the TB strain requires approximately three days to kill 50% of a given worm population, and up to 8 days to kill all the worms in a population of 50 nematodes.",Under slow killing conditions,"the TB strain requires approximately three days to kill 50% of a given worm population, and up to 8 days to kill all the worms in a population of 50 nematodes",Causal
217,"One of them is the ""Bacille de Calmette et Guerin"" (BCG), which was originally derived in 1921 from a virulent Mycobacterium bovis strain by 230 passages on potato-glycerol-ox bile medium [1].",,,Non-Causal
218,"Interestingly, arabinose also activated hilE, albeit to a lesser degree than either glucose or mannose.","arabinose also activated hilE, albeit to a lesser degree than either glucose or mannose",a minute increase in hilD expression,Causal
219,"At a 60% true positive rate, CLR identified 1,079 regulatory interactions in E. coli, of which 338 were in previously known networks and 741 were novel predictions (ibid).",,,Non-Causal
220,"Integral membrane proteins that recognize signals in addition to extracytoplasmic pH, such as PmrB, have been identified both in prokaryotes and in eukaryotes.",,,Non-Causal
221,The two type III secretion systems are expressed under different environmental conditions and play distinct roles in pathogenesis.,,,Non-Causal
222,"This may be of particular importance for data in which the relationship between clustered genes is not obvious, and may facilitate the organization of larger datasets into more meaningful packages.",,,Non-Causal
223,The short (Mfa1) fimbriae are less understood.,,,Non-Causal
224,Introduction Many Gram-negative bacteria that colonize host animals use a type III secretion system (T3SS) to deliver effector proteins directly into host cells where their interaction with host proteins and membranes contribute to pathogenesis.,,,Non-Causal
225,"Clones spanning the different genomic regions of non-synonymous SNPs were selected from an ordered H37Rv library of integrating shuttle cosmids [7,19] and individually electroporated into H37Ra, where they inserted stably into the attB site.",,,Non-Causal
226,"In this screen, rpoS deletion resulted in a slight increase in SseB levels (Figure 1A) indicating a role for RpoS in the repression of SPI-2.","In this screen, rpoS deletion resulted in a slight increase in SseB levels",a role for RpoS in the repression of SPI-2,Causal
227,"Y. enterocolitica is expected to switch between two pathogenicity phases against insects and mammalians, while the genome of P. luminescens must contain the modulators and regulators necessary to change the bacterium from a state of symbiosis with nematodes to pathogenicity against insects, and also from symbiosis-proficient primary variants to symbiosis-deficient secondary variants [17].",,,Non-Causal
228,"It has previously been reported that Mg2+ concentrations within the airway surface fluid are high (2.2 mM) [73],[74].",,,Non-Causal
229,Substitution of a conserved histidine or of either one of four conserved glutamic acid residues in the periplasmic domain of PmrB severely decreased or abolished the mild acid-promoted transcription of PmrA-activated genes.,Substitution of a conserved histidine or of either one of four conserved glutamic acid residues in the periplasmic domain of PmrB,severely decreased or abolished the mild acid-promoted transcription of PmrA-activated genes,Causal
230,"The DeltaluxS mutant also showed decreased expression of virulence factors such as the cytotoxic protein CcdB, the hemolysin secretion protein HlyD (Plu0635), and the toxin ABC transporter subunits RtxD/RtxB.",,,Non-Causal
231,"In the remaining mutants, one contained a transposon insertion in PA5479, which encodes a protein similar to GltP from E. coli, a glutamate-aspartate carrier protein.",,,Non-Causal
232,"Quorum sensing-like gene regulation Regulation by AHL-LuxR-like receptors Virulence, bioluminescence, mutualism, antibiotic production and biofilm formation are often regulated by LuxI/LuxR quorum sensing systems in Gram-negative bacteria.",,,Non-Causal
233,A two-component regulatory system typically contains a membrane-bound histidine kinase sensor and a cytosolic response regulator.,,,Non-Causal
234,Alternative sigma factors coordinate gene expression in response to environmental cues sensed by the bacterium.,,,Non-Causal
235,SrcA is unique among other multi-effector chaperones most closely related to it in that it is unlinked from the T3SS genomic island.,,,Non-Causal
236,"However, as shown in Figure 1B, in vitro killing assay revealed that PMN killed non-invasive GAS, resulting in 15-42% of initial number of bacteria, but not invasive GAS (p=0.019).",,,Non-Causal
237,"Importantly, because functional gene data are not incorporated into its algorithms, GenomeCrawler is not biased toward identifying ""expected"" clusters.",,,Non-Causal
238,In the competitive index experiment all mutants were co-administered to 129X1/SvJ mice and the number of each surviving mutant bacteria was determined 7 days after i.p. inoculation.,,,Non-Causal
239,"Given that protein phosphorylation is a common modification system used in signal transduction that changes the function of proteins in response to environmental stimuli [38], we chose a phosphoproteomic approach for the detection and identification of regulatory pathways active following the transition to the surface attached mode of growth.",,,Non-Causal
240,"However, the effects of these complementation attempts on virulence remained limited, and no sequence information was described, which makes it difficult now to identify the genes implicated.",,,Non-Causal
241,The speH gene encodes a mitogenic exotoxin [38] reportedly induced during polymorphonuclear leukocyte phagocytosis [8] but not implicated previously in adherence.,,,Non-Causal
242,"In P. fluorescens ColS has been implicated in root colonization while in Pseudomonas putida it has been reported to be involved in regulating TN4652 transposition and heavy metal resistance [37],[38],[39],[40].",,,Non-Causal
243,"The virulence of each isolate was assessed in a second microtitre plate, into which a specific population of nematodes had been deposited.",,,Non-Causal
244,"Sugars that induce the Mlc regulon repress hilD expression by activating hilE Sequestration of Mlc by the unphosphorylated form of glucose permease, enzyme IICBGlc, is known to displace Mlc from its DNA-binding sites, thereby allowing transcription of its target genes (25-27).","Sequestration of Mlc by the unphosphorylated form of glucose permease, enzyme IICBGlc, is known to displace Mlc from its DNA-binding sites",allowing transcription of its target genes,Causal
245,"However, it is also possible that the observed differences may be caused by variations of in vitro culture conditions.",,,Non-Causal
246,"For instance, 8 hr and 24 hr old biofilms displayed 23 and 21 phosphorylation events, respectively, not detected at any other stage.",,,Non-Causal
247,"To gain insight into the ATP-binding mode(s) exhibited by Rv2623, the structural features of the ATP-binding pocket of domains 1/2 were compared to the monomer fold of the representative ATP-binding USP, MJ0577 (PDBID 1MJH) [26].",,,Non-Causal
248,"In the case of PmrB, a normal response to mild acid pH requires not only a periplasmic histidine but also several glutamic acid residues.","In the case of PmrB, a normal response to mild acid pH requires not only a periplasmic histidine but also several glutamic acid residues",regulation of PmrB activity may involve protonation of one or more of these amino acids,Causal
249,"Although recent microarray studies have highlighted the molecular responses of streptococci in relevant host conditions [8-10], characterizing differentially expressed loci during pharyngeal cell adherence is critical for understanding the molecular basis for host colonization.",,,Non-Causal
250,"To better evaluate the virulence attenuation of DeltasalKR, colonization experiments were carried out.",,,Non-Causal
251,"Two promoter regions in the P. gingivalis fimA gene were also reported (Xie & Lamont, 1999; Nishikawa et al., 2004).",,,Non-Causal
