s/n,sample_index,sentence,pred_pair_index,pred_cause,pred_effect,pred_causality,pred_sententiality,best_gold_pair_index,gold_cause,gold_effect,gold_causality,gold_sententiality,exact_match,soft_token_overlap_match,soft_pair_score,pred_causality_norm,gold_causality_norm,pred_sententiality_norm,gold_sententiality_norm
21282,254,"The deleterious effect of EC on lymphocytes indicates strong immunosuppressive properties of this combination therapy. D, in contrast, has no effect on lymphocytes, but triggers the secretion of stimulatory proteins in vivo and in vitro, indicating a supportive effect on the immune system. Underlying differences in the induced cell death might be causal. These divergent immunomodulatory effects of epirubicin/cyclophosphamide and docetaxel should be considered when planning future combinations with immunotherapies in breast cancer",2,Underlying differences in the induced cell death,These divergent immunomodulatory effects,Explicit,Inter,0,EC,Deleterious effects on lymphocytes,Explicit,Intra,0,1,0.125,Explicit,Explicit,Inter,Intra
23235,257,"This two-sample Mendelian randomization study found that Family Bacteroidaceae, Genus Parabacteroides, and Genus Bacteroides were causally associated with the morning chronotype. Further randomized controlled trials are needed to clarify the effects of the gut microbiota on the morning chronotype, as well as their specific protective mechanisms",0,Family Bacteroidaceae,morning chronotype,Explicit,Intra,0,Family Bacteroidaceae,the morning chronotype,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
23235,257,"This two-sample Mendelian randomization study found that Family Bacteroidaceae, Genus Parabacteroides, and Genus Bacteroides were causally associated with the morning chronotype. Further randomized controlled trials are needed to clarify the effects of the gut microbiota on the morning chronotype, as well as their specific protective mechanisms",1,Genus Parabacteroides,morning chronotype,Explicit,Intra,1,Genus Parabacteroides,the morning chronotype,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
23235,257,"This two-sample Mendelian randomization study found that Family Bacteroidaceae, Genus Parabacteroides, and Genus Bacteroides were causally associated with the morning chronotype. Further randomized controlled trials are needed to clarify the effects of the gut microbiota on the morning chronotype, as well as their specific protective mechanisms",2,Genus Bacteroides,morning chronotype,Explicit,Intra,2,Genus Bacteroides,the morning chronotype,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
26284,258,There is a causal association between increased eosinophil count and a higher risk or worsening of allergic rhinitis,0,increased eosinophil count,higher risk or worsening of allergic rhinitis,Implicit,Intra,0,increased eosinophil count,higher risk or worsening of allergic rhinitis,Explicit,Intra,1,1,1.0,Implicit,Explicit,Intra,Intra
22879,259,"In conclusion, a negative causal relationship was established between lipid metabolism and bone metabolism. Our results indicated that SBP and HGS served as mediators for the effects of lipid metabolism on bone metabolism",0,lipid metabolism,bone metabolism,Explicit,Intra,0,lipid metabolism,Reduced bone metabolism,Explicit,Intra,0,1,0.9,Explicit,Explicit,Intra,Intra
22879,259,"In conclusion, a negative causal relationship was established between lipid metabolism and bone metabolism. Our results indicated that SBP and HGS served as mediators for the effects of lipid metabolism on bone metabolism",1,SBP and HGS,effects of lipid metabolism on bone metabolism,Explicit,Inter,0,lipid metabolism,Reduced bone metabolism,Explicit,Intra,0,1,0.2,Explicit,Explicit,Inter,Intra
24587,261,"Our study provides novel evidence for a causal relationship between lower circulating glutamine levels and increased risk of IPF. This finding may contribute to the early identification of high-risk individuals for IPF, disease monitoring, and development of targeted therapeutic strategies",0,lower circulating glutamine levels,increased risk of IPF,Explicit,Intra,0,lower circulating glutamine levels,increased risk of IPF,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
29298,263,Smoking causes a large and growing number of premature deaths in India,0,Smoking,a large and growing number of premature deaths,Explicit,Intra,0,Smoking,a large and growing number of premature deaths in India,Explicit,Intra,0,1,0.9375,Explicit,Explicit,Intra,Intra
18885,264,"Compared to patients with paroxysmal AF with mild or no OSA, those with OSA were far more likely to have a symptomatic AF attack during sleeping hours, supporting a causal role for OSA in the pathogenesis of AF in this population. These findings strongly suggest that patients who have nocturnal AF attacks should be evaluated for OSA",0,OSA,symptomatic AF attack during sleeping hours,Explicit,Intra,0,OSA,pathogenesis of AF,Explicit,Intra,0,1,0.6111111111111112,Explicit,Explicit,Intra,Intra
18885,264,"Compared to patients with paroxysmal AF with mild or no OSA, those with OSA were far more likely to have a symptomatic AF attack during sleeping hours, supporting a causal role for OSA in the pathogenesis of AF in this population. These findings strongly suggest that patients who have nocturnal AF attacks should be evaluated for OSA",1,nocturnal AF attacks,evaluation for OSA,Implicit,Inter,0,OSA,pathogenesis of AF,Explicit,Intra,0,0,0.0,Implicit,Explicit,Inter,Intra
5038,265,The identification of specific lipid metabolites with causal effects on AD provides new insights into AD pathogenesis and highlights potential targets for preventive strategies,0,specific lipid metabolites,AD,Explicit,Intra,1,Specific lipid metabolites,AD,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
5954,266,"This study establishes robust bidirectional causal pathways between brain functional networks and neurodegenerative diseases, with AD showing unique vulnerability in cerebellar-subcortical and default mode circuits. These findings highlight network-specific therapeutic targets for AD and related disorders",0,brain functional networks,neurodegenerative diseases,Explicit,Intra,0,brain functional networks,neurodegenerative diseases,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
5954,266,"This study establishes robust bidirectional causal pathways between brain functional networks and neurodegenerative diseases, with AD showing unique vulnerability in cerebellar-subcortical and default mode circuits. These findings highlight network-specific therapeutic targets for AD and related disorders",1,neurodegenerative diseases,brain functional networks,Explicit,Intra,1,neurodegenerative diseases,brain functional networks,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
19031,267,"Different types of parent-child communication have different influencing mechanisms on PTSD and PTG. Therefore, distinct intervention strategies are needed targeted to these two psychological reactions",0,different types of parent-child communication,influencing mechanisms on PTSD and PTG,Implicit,Intra,0,Different types of parent-child communication have different influencing mechanisms on PTSD and PTG,distinct intervention strategies are needed targeted to these two psychological reactions,Implicit,Intra,0,1,0.2777777777777778,Implicit,Implicit,Intra,Intra
19031,267,"Different types of parent-child communication have different influencing mechanisms on PTSD and PTG. Therefore, distinct intervention strategies are needed targeted to these two psychological reactions",1,distinct intervention strategies,targeted to these two psychological reactions,Implicit,Inter,0,Different types of parent-child communication have different influencing mechanisms on PTSD and PTG,distinct intervention strategies are needed targeted to these two psychological reactions,Implicit,Intra,0,1,0.3529411764705882,Implicit,Implicit,Inter,Intra
1542,268,The effect of dopaminergic medication on the risk of hip/femur fractures is not clear. Our results showed a nearly twofold increased risk of hip/femur fractures in current dopaminergic drug users. Concomitant use of antidepressants further increased this risk. Fracture risk assessment may be warranted in elderly users of dopaminergic drugs,0,current dopaminergic drug use,nearly twofold increased risk of hip/femur fractures,Implicit,Intra,0,dopaminergic drug user,twofold increased risk of hip/femur fractures,Implicit,Intra,0,1,0.7472527472527473,Implicit,Implicit,Intra,Intra
1542,268,The effect of dopaminergic medication on the risk of hip/femur fractures is not clear. Our results showed a nearly twofold increased risk of hip/femur fractures in current dopaminergic drug users. Concomitant use of antidepressants further increased this risk. Fracture risk assessment may be warranted in elderly users of dopaminergic drugs,1,concomitant use of antidepressants,further increased risk,Implicit,Inter,1,Concomitant use of antidepressants,further increases risk of hip/femur fractures,Implicit,Intra,0,1,0.7222222222222222,Implicit,Implicit,Inter,Intra
20383,269,"Our two-sample Mendelian randomization study supports a significant causal relationship between LP and schizophrenia and finds that schizophrenia can reduce the incidence of LP. This is in contrast to previous findings and provides new insights into the relationship between LP and schizophrenia, but the exact mechanism needs further investigation",0,LP,schizophrenia,Explicit,Intra,0,LP,schizophrenia,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
20383,269,"Our two-sample Mendelian randomization study supports a significant causal relationship between LP and schizophrenia and finds that schizophrenia can reduce the incidence of LP. This is in contrast to previous findings and provides new insights into the relationship between LP and schizophrenia, but the exact mechanism needs further investigation",1,schizophrenia,reduction in the incidence of LP,Explicit,Intra,1,schizophrenia,reduce the incidence of LP,Implicit,Intra,0,1,0.8636363636363635,Explicit,Implicit,Intra,Intra
25623,270,Naltrexone is an effective medication for treating alcohol use disorder but is underutilized in patients with underlying liver disease due to historical concerns regarding hepatotoxicity. This retrospective study shows no drug-induced liver injury in a large cohort of patients with cirrhosis with new initiation of naltrexone. This study may encourage providers to prescribe naltrexone to patients with existing liver disease with ongoing alcohol use disorder,0,historical concerns regarding hepatotoxicity,underutilization of Naltrexone,Implicit,Intra,0,historical concerns regarding hepatotoxicity,Naltrexone is underutilized in patients with underlying liver disease,Explicit,Intra,0,1,0.5833333333333334,Implicit,Explicit,Intra,Intra
25623,270,Naltrexone is an effective medication for treating alcohol use disorder but is underutilized in patients with underlying liver disease due to historical concerns regarding hepatotoxicity. This retrospective study shows no drug-induced liver injury in a large cohort of patients with cirrhosis with new initiation of naltrexone. This study may encourage providers to prescribe naltrexone to patients with existing liver disease with ongoing alcohol use disorder,1,This study showing no drug-induced liver injury,encouraging providers to prescribe naltrexone,Implicit,Inter,0,historical concerns regarding hepatotoxicity,Naltrexone is underutilized in patients with underlying liver disease,Explicit,Intra,0,1,0.07142857142857142,Implicit,Explicit,Inter,Intra
5326,271,"According to the current findings, there was a preliminary causal effect of OSA on MA among European descendants",0,OSA,MA,Explicit,Intra,0,OSA,MA among European descendants,Explicit,Intra,0,1,0.7,Explicit,Explicit,Intra,Intra
18272,272,This study provides little evidence that increased serum cTnI levels lead to a higher risk of stroke,0,increased serum cTnI levels,higher risk of stroke,Explicit,Intra,0,increased serum cTnI levels,a higher risk of stroke,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
5690,273,MR analysis identified differential causal effects of inflammatory biomarkers on HCC risk. Protective factors included,0,inflammatory biomarkers,differential causal effects on HCC risk,Explicit,Intra,0,inflammatory biomarkers,HCC risk,Explicit,Intra,0,1,0.75,Explicit,Explicit,Intra,Intra
29935,274,"Phenological, vegetative and reproductive traits accounted for most of the fitness variation. Fitness was highest in plants of southernmost origin, mainly due to earlier flowering. Fitness within each seed origin was controlled by variation in different traits. Southern origin plants that grew to a larger size achieved higher fitness. However, plant size in plants of northernmost origin was irrelevant, but early flowering promoted higher fitness. Variation in fruit and seed set had a greater effect on the fitness of plants of central origin than phenological and size variation",0,earlier flowering,fitness was highest,Implicit,Intra,1,earlier flowering,Fitness was highest in plants of southernmost origin,Implicit,Intra,0,1,0.7727272727272727,Implicit,Implicit,Intra,Intra
29935,274,"Phenological, vegetative and reproductive traits accounted for most of the fitness variation. Fitness was highest in plants of southernmost origin, mainly due to earlier flowering. Fitness within each seed origin was controlled by variation in different traits. Southern origin plants that grew to a larger size achieved higher fitness. However, plant size in plants of northernmost origin was irrelevant, but early flowering promoted higher fitness. Variation in fruit and seed set had a greater effect on the fitness of plants of central origin than phenological and size variation",1,southern origin,higher fitness,Implicit,Intra,0,early flowering,promoted higher fitness,Explicit,Intra,0,1,0.4,Implicit,Explicit,Intra,Intra
29935,274,"Phenological, vegetative and reproductive traits accounted for most of the fitness variation. Fitness was highest in plants of southernmost origin, mainly due to earlier flowering. Fitness within each seed origin was controlled by variation in different traits. Southern origin plants that grew to a larger size achieved higher fitness. However, plant size in plants of northernmost origin was irrelevant, but early flowering promoted higher fitness. Variation in fruit and seed set had a greater effect on the fitness of plants of central origin than phenological and size variation",2,larger size,higher fitness,Implicit,Intra,0,early flowering,promoted higher fitness,Explicit,Intra,0,1,0.4,Implicit,Explicit,Intra,Intra
29935,274,"Phenological, vegetative and reproductive traits accounted for most of the fitness variation. Fitness was highest in plants of southernmost origin, mainly due to earlier flowering. Fitness within each seed origin was controlled by variation in different traits. Southern origin plants that grew to a larger size achieved higher fitness. However, plant size in plants of northernmost origin was irrelevant, but early flowering promoted higher fitness. Variation in fruit and seed set had a greater effect on the fitness of plants of central origin than phenological and size variation",3,early flowering,higher fitness,Implicit,Intra,0,early flowering,promoted higher fitness,Explicit,Intra,0,1,0.9,Implicit,Explicit,Intra,Intra
29935,274,"Phenological, vegetative and reproductive traits accounted for most of the fitness variation. Fitness was highest in plants of southernmost origin, mainly due to earlier flowering. Fitness within each seed origin was controlled by variation in different traits. Southern origin plants that grew to a larger size achieved higher fitness. However, plant size in plants of northernmost origin was irrelevant, but early flowering promoted higher fitness. Variation in fruit and seed set had a greater effect on the fitness of plants of central origin than phenological and size variation",4,fruit and seed set variation,greater effect on fitness,Implicit,Intra,0,early flowering,promoted higher fitness,Explicit,Intra,0,1,0.14285714285714288,Implicit,Explicit,Intra,Intra
14323,275,Very small impacts existed between a number of reproductive factors and cancer incidence and mortality in children and the certainty of evidence was low to very low primarily due to observational design,0,observational design,low to very low certainty of evidence,Explicit,Intra,0,observational design,the certainty of evidence was low to very low,Explicit,Intra,0,1,0.9666666666666667,Explicit,Explicit,Intra,Intra
14927,276,"The UOHD rate increased, probably due to multifactorial causes, including living in area with low population density and short duration of labor. UOHD was a significant predictor of perinatal morbidity or mortality, but the numbers were very small. Neonatal morbidity and mortality in UOHDs did not seem to be related to the area or time period of birth",0,multifactorial causes,UOHD rate increased,Explicit,Intra,0,Multifactorial causes including living in area with low population density and short duration of labor.,The UOHD rate increased,Implicit,Intra,0,1,0.6176470588235294,Explicit,Implicit,Intra,Intra
14927,276,"The UOHD rate increased, probably due to multifactorial causes, including living in area with low population density and short duration of labor. UOHD was a significant predictor of perinatal morbidity or mortality, but the numbers were very small. Neonatal morbidity and mortality in UOHDs did not seem to be related to the area or time period of birth",1,living in area with low population density,UOHD rate increased,Explicit,Intra,0,Multifactorial causes including living in area with low population density and short duration of labor.,The UOHD rate increased,Implicit,Intra,0,1,0.8181818181818181,Explicit,Implicit,Intra,Intra
14927,276,"The UOHD rate increased, probably due to multifactorial causes, including living in area with low population density and short duration of labor. UOHD was a significant predictor of perinatal morbidity or mortality, but the numbers were very small. Neonatal morbidity and mortality in UOHDs did not seem to be related to the area or time period of birth",2,short duration of labor,UOHD rate increased,Explicit,Intra,0,Multifactorial causes including living in area with low population density and short duration of labor.,The UOHD rate increased,Implicit,Intra,0,1,0.7105263157894737,Explicit,Implicit,Intra,Intra
14927,276,"The UOHD rate increased, probably due to multifactorial causes, including living in area with low population density and short duration of labor. UOHD was a significant predictor of perinatal morbidity or mortality, but the numbers were very small. Neonatal morbidity and mortality in UOHDs did not seem to be related to the area or time period of birth",3,UOHD,perinatal morbidity or mortality,Explicit,Intra,0,Multifactorial causes including living in area with low population density and short duration of labor.,The UOHD rate increased,Implicit,Intra,0,0,0.0,Explicit,Implicit,Intra,Intra
24655,277,Our MR results show a causal relationship between the GM and liver disease. Prevotella displays a notable protective effect. This finding may enhance the precision of GM-based therapies and offer new insights for clinical research,0,GM,liver disease,Explicit,Intra,0,GM,liver disease,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
24655,277,Our MR results show a causal relationship between the GM and liver disease. Prevotella displays a notable protective effect. This finding may enhance the precision of GM-based therapies and offer new insights for clinical research,1,Prevotella,protective effect against liver disease,Implicit,Inter,0,GM,liver disease,Explicit,Intra,0,1,0.28571428571428575,Implicit,Explicit,Inter,Intra
24655,277,Our MR results show a causal relationship between the GM and liver disease. Prevotella displays a notable protective effect. This finding may enhance the precision of GM-based therapies and offer new insights for clinical research,2,finding,enhance the precision of GM-based therapies,Implicit,Inter,0,GM,liver disease,Explicit,Intra,0,0,0.0,Implicit,Explicit,Inter,Intra
24655,277,Our MR results show a causal relationship between the GM and liver disease. Prevotella displays a notable protective effect. This finding may enhance the precision of GM-based therapies and offer new insights for clinical research,3,finding,offer new insights for clinical research,Implicit,Inter,0,GM,liver disease,Explicit,Intra,0,0,0.0,Implicit,Explicit,Inter,Intra
26563,278,"Our MR analysis indicated a significant causal association between chronotype and suppressed gonadal function in healthy adult humans, with no apparent gender-specific effect. Extreme sleep durations were also found to be detrimental to the maintenance of normal HPTGA secretion function. Compared to males, gonadal function in the female cohort is more susceptible to extreme sleep habits. Subsequent observational studies are urgently needed to confirm the underlying mechanisms",0,chronotype,suppressed gonadal function,Explicit,Intra,0,Extreme sleep durations,Detrimental to the maintenance of normal HPTGA secretion function,Implicit,Intra,0,1,0.08333333333333333,Explicit,Implicit,Intra,Intra
26563,278,"Our MR analysis indicated a significant causal association between chronotype and suppressed gonadal function in healthy adult humans, with no apparent gender-specific effect. Extreme sleep durations were also found to be detrimental to the maintenance of normal HPTGA secretion function. Compared to males, gonadal function in the female cohort is more susceptible to extreme sleep habits. Subsequent observational studies are urgently needed to confirm the underlying mechanisms",1,extreme sleep durations,detrimental to the maintenance of normal HPTGA secretion function,Explicit,Intra,0,Extreme sleep durations,Detrimental to the maintenance of normal HPTGA secretion function,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
26563,278,"Our MR analysis indicated a significant causal association between chronotype and suppressed gonadal function in healthy adult humans, with no apparent gender-specific effect. Extreme sleep durations were also found to be detrimental to the maintenance of normal HPTGA secretion function. Compared to males, gonadal function in the female cohort is more susceptible to extreme sleep habits. Subsequent observational studies are urgently needed to confirm the underlying mechanisms",2,extreme sleep habits,more susceptible to gonadal function,Explicit,Inter,0,Extreme sleep durations,Detrimental to the maintenance of normal HPTGA secretion function,Implicit,Intra,0,1,0.47619047619047616,Explicit,Implicit,Inter,Intra
21620,279,"Adverse event mining results have supported the claim that antipsychotic drugs can increase the risk of VTE. However, we failed to find any genetic evidence for this causal association and potential mechanisms. Thus, vigilance is still needed for antipsychotic drug-related VTE despite the limited supporting evidence",0,antipsychotic drugs,increase the risk of VTE,Explicit,Intra,0,antipsychotic drugs,increase the risk of VTE,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
21500,280,"The results showed that procrastination and dentistry department are factors that directly influence delays in dental visits, while agreeableness, a Big Five trait, has a negative effect on individuals with an acute condition",0,procrastination,delays in dental visits,Implicit,Intra,0,procrastination,delays in dental visits,Implicit,Intra,1,1,1.0,Implicit,Implicit,Intra,Intra
21500,280,"The results showed that procrastination and dentistry department are factors that directly influence delays in dental visits, while agreeableness, a Big Five trait, has a negative effect on individuals with an acute condition",1,dentistry department,delays in dental visits,Implicit,Intra,2,dentistry department,delays in dental visits,Implicit,Intra,1,1,1.0,Implicit,Implicit,Intra,Intra
21500,280,"The results showed that procrastination and dentistry department are factors that directly influence delays in dental visits, while agreeableness, a Big Five trait, has a negative effect on individuals with an acute condition",2,agreeableness,negative effect on individuals with an acute condition,Implicit,Intra,1,"agreeableness, a Big Five trait",negative effect on individuals with an acute condition,Implicit,Intra,0,1,0.5,Implicit,Implicit,Intra,Intra
25391,281,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising improved family planning and maternal health practices through higher utilization of private market providers while maintaining access to government health services. Findings support a unifying approach to public health without separating government versus private services, but more rigorous and generalizable research is needed",0,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising",improved family planning and maternal health practices,Implicit,Intra,1,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising",improved maternal health practices,Implicit,Intra,0,1,0.8636363636363636,Implicit,Implicit,Intra,Intra
25391,281,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising improved family planning and maternal health practices through higher utilization of private market providers while maintaining access to government health services. Findings support a unifying approach to public health without separating government versus private services, but more rigorous and generalizable research is needed",1,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising",higher utilization of private market providers,Implicit,Intra,0,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising",improved family planning,Implicit,Intra,0,1,0.5,Implicit,Implicit,Intra,Intra
25391,281,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising improved family planning and maternal health practices through higher utilization of private market providers while maintaining access to government health services. Findings support a unifying approach to public health without separating government versus private services, but more rigorous and generalizable research is needed",2,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising",maintaining access to government health services,Implicit,Intra,1,"Commercial interventions that harness market-driven approaches of incentives, social marketing, and social franchising",improved maternal health practices,Implicit,Intra,0,1,0.6,Implicit,Implicit,Intra,Intra
24761,282,Our findings demonstrate a cause-and-effect connection between PCOS and hyperthyroidism. The study established foundation for further investigation for interaction between thyroid function and PCOS,0,PCOS,hyperthyroidism,Explicit,Intra,0,PCOS,hyperthyroidism,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
3966,283,"In humans, uric acid is a product of purine metabolism that impacts the vascular system. In addition to effects on arterial vascular tone, associations between serum uric acid concentrations-even in the physiological range-and arterial hypertension and vascular-mediated end-organ damage due to an impact on vascular stiffness have been postulated",0,uric acid,impacts the vascular system,Implicit,Intra,0,an impact on vascular stiffness have been postulated,vascular-mediated end-organ damage,Explicit,Intra,0,0,0.0,Implicit,Explicit,Intra,Intra
3966,283,"In humans, uric acid is a product of purine metabolism that impacts the vascular system. In addition to effects on arterial vascular tone, associations between serum uric acid concentrations-even in the physiological range-and arterial hypertension and vascular-mediated end-organ damage due to an impact on vascular stiffness have been postulated",1,serum uric acid concentrations,arterial hypertension,Implicit,Inter,0,an impact on vascular stiffness have been postulated,vascular-mediated end-organ damage,Explicit,Intra,0,0,0.0,Implicit,Explicit,Inter,Intra
3966,283,"In humans, uric acid is a product of purine metabolism that impacts the vascular system. In addition to effects on arterial vascular tone, associations between serum uric acid concentrations-even in the physiological range-and arterial hypertension and vascular-mediated end-organ damage due to an impact on vascular stiffness have been postulated",2,serum uric acid concentrations,vascular-mediated end-organ damage,Implicit,Inter,0,an impact on vascular stiffness have been postulated,vascular-mediated end-organ damage,Explicit,Intra,0,1,0.5,Implicit,Explicit,Inter,Intra
14737,286,"Non-random mating may have a bearing on the results of MR studies based on unrelated individuals. Family data enable tests of causal relationships to be conducted more rigorously, and are recommended to triangulate results of MR studies assessing pairs of traits leading to non-random mate selection",0,Family data,tests of causal relationships being conducted more rigorously,Implicit,Intra,1,Family data,enablement of tests of causal relationships to be conducted more rigorously,Implicit,Intra,0,1,0.868421052631579,Implicit,Implicit,Intra,Intra
14737,286,"Non-random mating may have a bearing on the results of MR studies based on unrelated individuals. Family data enable tests of causal relationships to be conducted more rigorously, and are recommended to triangulate results of MR studies assessing pairs of traits leading to non-random mate selection",1,MR studies assessing pairs of traits leading to non-random mate selection,non-random mating having a bearing on the results,Implicit,Inter,0,Triangulation of results of MR studies assessing pairs of traits,Non-random mate selection,Explicit,Intra,0,1,0.3766233766233765,Implicit,Explicit,Inter,Intra
28655,287,Acute colitis is mainly induced by drugs,0,drugs,acute colitis,Explicit,Intra,0,drugs,Acute colitis,Implicit,Intra,1,1,1.0,Explicit,Implicit,Intra,Intra
8964,288,"It is concluded that alcohol facilitates feelings of aggression whereas cannabis diminishes aggressive feelings in heavy alcohol and regular cannabis users, respectively",0,alcohol,feelings of aggression,Implicit,Intra,0,Alcohol,an increase in feelings of aggression in heavy alcohol users,Implicit,Intra,0,1,0.75,Implicit,Implicit,Intra,Intra
8964,288,"It is concluded that alcohol facilitates feelings of aggression whereas cannabis diminishes aggressive feelings in heavy alcohol and regular cannabis users, respectively",1,cannabis,diminishes aggressive feelings,Implicit,Intra,1,Cannabis,a decrease in feelings of aggression in regular cannabis users,Implicit,Intra,0,1,0.5833333333333334,Implicit,Implicit,Intra,Intra
20929,290,"Our findings provided genetic evidence for the causal relationships between migraine and microstructural WM, bringing new insights into brain structure for the development and experience of migraine",0,migraine,microstructural WM,Explicit,Intra,0,migraine,microstructural WM,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
6232,292,"Mental health development during adolescence can be assessed by a combination of variables from early adolescence. Peer problems represent an important direct cause of mental health development, and their deterioration may contribute to the current mental health crisis",0,Peer problems,mental health development,Explicit,Intra,0,Peer problems,deterioration of mental health development,Explicit,Intra,0,1,0.875,Explicit,Explicit,Intra,Intra
6232,292,"Mental health development during adolescence can be assessed by a combination of variables from early adolescence. Peer problems represent an important direct cause of mental health development, and their deterioration may contribute to the current mental health crisis",1,their deterioration,current mental health crisis,Implicit,Intra,0,Peer problems,deterioration of mental health development,Explicit,Intra,0,1,0.22222222222222224,Implicit,Explicit,Intra,Intra
26925,293,"The MR analysis revealed a positive causal relationship between depression and MASLD, while no reverse causal relationship was identified. Liver enzymes may mediate the role between depression and MASLD",0,depression,MASLD,Explicit,Intra,0,depression,MASLD,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
26925,293,"The MR analysis revealed a positive causal relationship between depression and MASLD, while no reverse causal relationship was identified. Liver enzymes may mediate the role between depression and MASLD",1,Liver enzymes,mediating the role between depression and MASLD,Implicit,Inter,0,depression,MASLD,Explicit,Intra,0,1,0.125,Implicit,Explicit,Inter,Intra
12556,294,The combination of cross-sectional and experimental data provides indications that biological adaptation to famine leads to DNA methylation changes in genes involved in the central nervous system,0,biological adaptation to famine,DNA methylation changes in genes involved in the central nervous system,Explicit,Intra,0,biological adaptation to famine,DNA methylation changes in genes involved in the central nervous system,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
18054,295,The MR in this study demonstrated a modest reverse causal relationship between TN and BN but a significant positive causal relationship between BN and TN,0,TN,BN,Explicit,Intra,0,TN,BN,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
18054,295,The MR in this study demonstrated a modest reverse causal relationship between TN and BN but a significant positive causal relationship between BN and TN,1,BN,TN,Explicit,Intra,1,BN,TN,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
19323,296,"Early intensive glycemic control decreases long-term DFU risk, the most important antecedent in the causal pathway to LEA",0,Early intensive glycemic control,long-term DFU risk decrease,Explicit,Intra,0,Early intensive glycemic control,decreased long-term DFU risk,Implicit,Intra,0,1,0.875,Explicit,Implicit,Intra,Intra
20620,297,A causal effect between genetically predicted childhood obesity and the risk of hypertension in pregnancy was identified. The prevention of hypertension in pregnancy should be promoted in populations with childhood obesity,0,genetically predicted childhood obesity,risk of hypertension in pregnancy,Explicit,Intra,0,genetically predicted childhood obesity,risk of hypertension in pregnancy,Explicit,Intra,1,1,1.0,Explicit,Explicit,Intra,Intra
20620,297,A causal effect between genetically predicted childhood obesity and the risk of hypertension in pregnancy was identified. The prevention of hypertension in pregnancy should be promoted in populations with childhood obesity,1,childhood obesity,prevention of hypertension in pregnancy,Implicit,Inter,0,genetically predicted childhood obesity,risk of hypertension in pregnancy,Explicit,Intra,0,1,0.7333333333333334,Implicit,Explicit,Inter,Intra
18543,298,"Our findings provide novel genetic evidence that snoring increases the risk of stroke and IS, but not LAS, CES, and SVS",0,snoring,risk of stroke,Implicit,Intra,0,Snoring,increased risk of stroke,Implicit,Intra,0,1,0.9285714285714286,Implicit,Implicit,Intra,Intra
18543,298,"Our findings provide novel genetic evidence that snoring increases the risk of stroke and IS, but not LAS, CES, and SVS",1,snoring,risk of IS,Implicit,Intra,1,Snoring,increased risk of IS,Implicit,Intra,0,1,0.9285714285714286,Implicit,Implicit,Intra,Intra
10892,299,"Previous research has found that maternal stress during pregnancy increases the risk of offspring asthma. However, whether this association is consistent with a causal interpretation has never been tested. The objective is to determine whether there is a critical exposure period for maternal depression or anxiety on offspring asthma or whether cumulative exposure is most important, and to investigate evidence of confounding",0,maternal stress during pregnancy,increases the risk of offspring asthma,Explicit,Intra,0,maternal stress during pregnancy,increased risk of offspring asthma,Implicit,Intra,0,1,0.8636363636363635,Explicit,Implicit,Intra,Intra
3475,300,The construction of the healthcare data center characterized by driving data aggregation and interoperability improves the health of older adults by promoting their digital health management,0,construction of the healthcare data center characterized by driving data aggregation and interoperability,improves the health of older adults,Explicit,Intra,0,construction of the healthcare data center,improves the health of older adults by promoting their digital health management,Implicit,Intra,0,1,0.6491228070175439,Explicit,Implicit,Intra,Intra
3475,300,The construction of the healthcare data center characterized by driving data aggregation and interoperability improves the health of older adults by promoting their digital health management,1,construction of the healthcare data center characterized by driving data aggregation and interoperability,promoting their digital health management,Explicit,Intra,0,construction of the healthcare data center,improves the health of older adults by promoting their digital health management,Implicit,Intra,0,1,0.609907120743034,Explicit,Implicit,Intra,Intra
